sent	label
Hey, could you remind me to wish mom on 12th dec, say 8.30 AM	Found
Remind me for recharge	Not Found
Please remind me about my bike service to be given on 28 th of thismonth.	Found
Plz remind every year	Found
Please set a general reminder every hour .please call	Found
Can you Please set a reminder for tomorrow	Not Found
Please set a reminder	Found
Can I get two calls?!	Found
Also I need to deposit 20K in my savings account for recurring deposit on 20th, please remind me on 19th at 10am	Found
Plz set a reminder to watch channel	Found
Hey sis do remind me on 11th of Jan..1 more to go 4 Amitesh birthday	Found
Can I plz make this reminder for whole week....	Found
Pl remind today at 8 pm to keep blanl cheque	Found
What was my reminder of today 10 am	Found
Mere 2no reminder active hai ?	Found
Remind me to eat egg at 5:45 PM today.	Found
Shraddha another one reminder please can you do this?	Found
Plz remind me about today's tasks????	Found
Ok please send me the reminder	Found
Give me a reminder to send mail by 10:40 now	Found
So WL u b available 24x7 means if i set a reminder late night thn?	Found
Deactivate reminder	Found
Remind me to collect collect the brail from the blind school on 14	Found
Why i have a call from haptik?	Found
Remind me to take bath at 12:30 Today	Found
Remind me of pavan cheated upon james	Found
Please deactivate all alarms	Found
Is it possible to remind me everyday?	Found
Can u set reminder for me !	Found
Only reminder	Found
Could you please remind me to keep the money in kitchen tomorrow at around 10:40am	Found
Need another reminder to set	Found
Ok thanks for remember	Found
Please message me instead of calling	Found
18dec 12:00 pm schedule Pintu didi lunch	Found
Please tell us about haptik software	Found
1.30 pm Reminder: shankar test	Found
There were some of my reminders for this month on other phone and now I have a just changed	Found
8.00 am	Not Found
Your reminder is 1 day reminder	Found
Alarms after 8 pm also needed	Found
This is tomorrow's study schedule	Found
Pls make sure all my reminder r with the content	Found
thx for reminding	Found
Yes.....i want u to remind me that every day	Found
Remind me to send my wife a gift	Found
Sorry . Got a little late. Will schedule my tasks later.	Found
Reminder after 15 min	Found
Remind me on 10th Dec morning 4am to take gold flower's and bro mariage clothes..	Found
Remind me to uninstall you	Not Found
Also remind me to check harish's computer.	Found
Rahulji HI calling at 7pm today 7891044451	Found
Can u give a fake call	Found
I have got 1 more reminder	Found
Thanks for reminding me	Found
Reminder Appointment for driving licenses	Found
Please remind me to repair my wife's phone at 10am tomorrow	Found
Actually set a alarm for 5 tomorrow morning .	Not Found
Yup! Tysm for reminder...😇😃	Found
Set 10 am to 10 pm	Found
Can u like play a song rather than calling	Found
Remind me tomorrow for visiting new house	Not Found
Date: November 21, 2016 Time: 12 30 PM	Found
Sorry please make it 8.45 pm for Reminder	Found
Set a reminder at 8 am as well	Found
Remind me after another half an hour	Found
Remind me to check a website in two days	Found
Sould i have to recieve the call??	Found
Can you just send me reminders through SMS?	Found
Reminder on Monday at 11 am to go to guru Ji	Found
I need a call at that time	Not Found
Coll me to remind	Found
Can u plz remind me the same tomorrow at 2pm	Found
3 reminders please	Found
I need an alarm	Found
Can you set an alarm at 9 pm	Found
Can you tell me if i have any reminders set?	Not Found
Plz remind from 8:00 am to 10:00 pm	Found
Also remind me to cal Daya handloom on 16-11-2016 at 11:30am	Found
Can you please remind me tomorrow at 9pm to start research work	Found
Reminder was set up at 6	Found
Remind me abt tuition at 8:15	Found
I need to set a reminder	Found
Shave and carry shaving kit reminder tomorrow at 815 am and again at 830 am	Found
Reminder.. In the morning by 9:30a.m to check out Vodafone bill payment	Found
Remind me at 7 pm today for massage	Not Found
Remind me at 8.45 am today	Found
Set a reminder for 1.20 pm	Found
Remind me about take a test at 9 am	Found
Will you call me even if iam online on haptik	Not Found
Please set a reminder for 5th jan 17 for to ask ritika for balance confirmation circularisation	Found
Remind me to get some info about dentistry... Tomorrow 11 am	Found
Remind me on 7 Nov 12pm for Venus payment.	Found
Remind me about diwo today @5pm	Found
Hi. Remind me at 2:45pm today to leave for driving class	Found
Set alarm at 6:15am	Found
By call??	Not Found
Set a reminder on Thursday and Friday at 7 and 8 pm	Found
Friday evening 6o clock make a reminder of reminding chetan sir for the gift	Found
Reminder me for IAS application form	Found
Hi..remind me of sending important message to my teacher at 4:30pm	Found
Also Reminde me to cal maruti	Found
Tell me one thing I'm just lit bit curious about reminder call..	Found
Set reminder for raising travel request	Found
Gm	Not Found
I want to set time myself	Not Found
Reminder? For what?	Not Found
Please remind to process hyderabad rent payment tomorrow 4pm	Found
I want a reminder to catch a flight tomorrow at 6pm	Found
Remind me at 12 noon	Found
Remind me to shop in myntra tomorrow	Found
Two call with 15 min intervel	Found
Remind me to tell him abt job preferences at Pune and get advice	Found
Please would you remind me at 9:40 pm	Found
The reminder should be at 1215	Found
Yeah...but can you schedule it from sunfay	Found
Movie schedule for Sunday at inox Panajim	Not Found
I got reminder now	Found
Good morning Naqiyya	Found
Remind that ppt today 6.00pm	Found
Is there a reminder tone	Found
Call Deepak on 9 A.M tomorrow	Found
Reminder to give money back to vel	Found
i want sms reminder every 1 hour 2 min..... from 8:00 pm	Found
I want to set up reminder	Found
Call me at 6.30am	Found
Set me a reminder to wish my friend birthday on 10th December	Found
Remind me at 2:30 pm that it's 27%	Found
Why general? I need specific reminder with the task discription	Found
Remind me to go to movie dangal at 7pm	Found
Do you know what to remind me about	Found
Could u pls set a reminder for me	Found
Remind me to message ANIL PIE on 27th morning at 10:00 am	Found
Can u tell me something about u?😜	Not Found
Visit puma store reminder at 630pm today	Found
Can you please give a call around 4 .30 pm IST	Found
Reminde me aftr 1 hour	Found
Do we need internet for Marvel Future fight.	Found
Could you please remind me for wish my friend for birthday.... today at 9am	Found
set a reminder for me	Not Found
Remind me today at 11 pm about sarkari noukari	Found
Oh yes! But right now there is nothing that I would like to be reminded about.. I will let you know if I need.	Found
Remind me to to go to Austria on 3 march	Found
Thank u	Found
1/2 tab of Stamlobeta at 9.30 AM, Ecospirin 150 mg by 2.00 PM and Tonact 40mg by 9.30 PM	Found
6am	Not Found
thanks for the remainder	Found
Remains Me about going to Yusof home on 9.30 am	Found
And please remind me at sharp 8:30	Found
Ok thnx for reminding me	Found
Change my self study remainder from 12:00 pm to 10:15 am	Found
Remind me of gng to Suhas Arc by 12	Found
Hi samreen remind me to have a walk per one hour	Found
Please set reminder for 9 pm to pay lic premium	Found
Please remind me at 5:45	Found
I want the reminder from 10 am till 8 pm in the night at the interval of 1 hour	Found
Remind me at 2:42 pm today	Found
Reminder fr gym	Found
Remind me with notification	Found
Wish Birthday Name: Archana Atrawalkar Date: January 23, 2017 Time: 8 00 am	Found
Thnx 2 remind me	Found
Remind me of calling at vyas classes tomorrow at 10.30 am	Found
Remind me evening time provide some data to a person	Found
Today 7pm remind to go to see office	Found
Can you remind me for	Not Found
Remind me to book train ticket at 1030	Found
A reminder a 7 pm as well	Found
Add alarm	Not Found
Could you please remind me for on January 7 for watching sherlock holmes season 4 on axn	Found
Set a reminder at 1.00 pm to get ready for class	Found
Pleade tell me about alto and wagonR	Found
Remind me to go to bhagyashrees place @8:20	Found
Can u remind somebody else too on my behalf?	Found
Put up a general reminder for "form omkar" at 8:30am tomorrow	Found
If I m offline then also u reminds me	Found
Remind me of reading newspaper loudly	Not Found
But how to indicate which schedule is this	Found
7:00 am	Not Found
Ring *	Not Found
Yes I would like you to remind me everyday starting from tomorrow	Found
Who is better? Sir Dhruneal or Mr. Doshi?	Found
How to manage reminders	Found
Dismissed schedule.	Not Found
Set reminder for today on 7.20pm	Found
Can u plz remind me for a webinar at 4pm today	Found
Reminder for Sunday 15 Jan birthday party for friend 's daughter	Found
Set reminder for 9:45am 9:50am, 9:55 am, 10:00 am, 10:05 am tomorrow	Found
Will u ring	Not Found
On 2 Jan around 9pm	Found
I want a reminder every Friday by 9:00 pm that I have practicals on Saturday	Found
Actually I have to email them. Remind me please	Found
So how you will remind me.	Not Found
Remind me at 2.30 pm today for NRI account.	Not Found
Sory Sory..unknowingly I pressed it again..jus one reminder is enuf	Found
Can u help me remind my boyfriends birthday whc is on 22dec	Found
Set Alarm from 4:40AM to 5:00AM, today, 5 minutes difference	Found
Remind me at 11.55am about lenovo fab sell on Flipkart	Found
Can you remind me to send an email to Raghu tomorrow morning @ 10am	Found
Call me at 6 am and 6.40 am on 11 nobember	Found
5 am	Not Found
Remind me tomorrow at 2 pm SBI CC bill payment	Found
Remind me to charge battery at 8 am tomorrow	Found
Thanks...for reminding me	Found
Remind me to pay rs 3500 to depak	Found
Keep reminding me of studying hard. Tell me everytime that I have to be a Good Doctor.	Found
CAn u pls dismiss this reminder	Found
Set Alarm from 4:40AM to 5:00AM, today, 2 minutes difference	Found
Calling tomorrow rakesh kumar Jain at 12:30 pm	Found
Remind me at 9pm today. I need to fill a forn	Found
Nope! Thank u for reminding	Found
Remind me onthis 9th to do recharge	Found
Remind me to make a presentation by 10am for debreif Spain trip	Found
Hi, pls change the reminders frequency to every 3 hours from the current frequency of 2 hrs	Found
I need this reminder every Saturday at the same time	Found
Tata sky recharge remind me on 7th Jan at 3 clock	Found
Schedule to meet imran by 9 30pm today	Found
I want to add one more b'day reminder	Found
And what should go on my to-do list?	Found
i would like this reminder every day	Found
Iam little bit lazy so u can set one more alarm of 8 15am?	Found
Call sanjay, rajesh today by 4 pm	Found
Remind me to buy book tomorro at 8:00 am	Found
Would like to set one more reminder	Found
Remind me to take print out of my flight tickets	Found
Remind me to go to washroom at 3am	Found
Remind me in 2:00pm clock	Found
For both the reminders	Found
I want one reminder	Found
Plz remind me for booking of Train ticket today at 10:45	Found
I m getting irrigating from lot of calls from haptik	Found
I can remember now by my own	Found
Pls set an alarm for 8 am	Found
Remind me to have sex with my girlfriend in two minutes	Found
Remind me at 4pm today to work on education	Found
Remind me today at 1:40 pm for scooper	Found
Morning. Thanks for the reminder....have a great day	Found
Remind m tom at 11 to cal prof meena	Found
Can you remind me to do German assignments tomorrow please ?	Found
Remind me at 3 pm	Found
Thanks for this call	Found
It would be helpful if you could remind me to leave 45 minutes in advance, as I am leaving from Gurugram to Saket.	Found
Remind me @ 2.30pm today	Not Found
Thanks... m about to have!	Found
Set a reminder of bathing	Found
Thanks for the reminder Karan! :)	Found
Remind me that i have to whatsapp manju aunty	Found
Any alarm tone?	Not Found
Pls remind me to get 2 passport size photo for adhaar work.	Found
Do u remember me	Found
please remind me after 2 hrs	Found
You remind me at 6 pm 4 jan	Not Found
Been busy, sorry about that.	Found
Hii remind me to download the splendid app	Found
Can you help me with weekly reminders of reading something	Not Found
Remember its really important for me .	Not Found
I need a reminder on 10 June 2017 about shilpi birthday	Found
Remind me to go office at 12. 30 pm tomorrow	Found
Can you remind me to send quote for incastt machines	Not Found
Remind me to go to post office on 12th Jan 2017 at 9 am	Found
Please set up 2nd alarm also for me	Found
I need repeat alarm in next 5 mins	Found
Remind me to take the tickets on 18th January 2017 at 3 pm. Thank you.	Found
Remind me the same in an hour please	Found
Set it to till 9 pm	Found
Thanks Mahesh for reminder	Found
Icon finder reminder still pending on 1st of the month	Found
please remind the above tomorrow at same time	Found
I need regular to remind me	Found
Remind me for KEB bill	Not Found
Can you remind me to take my food from the fridge tomorrow	Found
Set reminder foe 1.45 pm today	Found
Tommorow 1 pm Reminder	Found
Could you set it till 12 am?	Found
Can you please help me create a schedule for the days	Not Found
Set remi der after 10 min	Found
I changed my number so I need all my remainders to be sent to my new number..is that possible	Found
Set a reminder for xrd slot on friday	Found
Can u set a reminder for the 3rd of feb	Found
Jai jinendra Thnx shrdha ji for my today schedule	Found
Remind me to write the question paper in the morning	Found
Who kept alarm at this time shardha	Found
Hey Ples Remind me pop drawing and vanity drg At 1pm	Found
Just remind me to collect books at 12:30	Found
Remind me tomorrow to collect my marks cards.	Found
Another 2 alarms at 8:00am , 8:20am also... Plz	Found
I know very well about ur haptik how to use but when to use i will decide	Found
Remind tomorrow at 11 am about talking to bindu n shiv about the customer complaint.	Found
make medic reminder at 11.30 am	Found
Set an alarm at 7:30 pm today.	Found
Remind me that I should get ready early tomorrow and go to temple in the morning	Found
Give me a call @ 8 pm...	Found
Remind me to type report at 9 pm today	Found
Can you please adjust the schedule	Not Found
Remind me to deposit PPF amount at 3 pm today	Found
Plz remind me before every match	Found
Can u set this every day	Found
Hi	Not Found
Remind me to take puneet construction brief at 12pm	Found
Set reminder for insurance payment on 15th February	Found
Remind me to go to bank today at 3:00 PM	Found
Can you change my reminders	Found
Remind me tommorow in morning about my summer training report file submission	Found
Remind me on 18th jan 2 atttend seminar dated 19th jan Thursday	Found
Can you change the reminder time for tommorow s meeting to 9.30 ?	Found
Remind me to buy Gehu today at 1pm	Found
why havent uh called me up for my alarm	Found
Remind me to take my lab coat at tomorrow morning 8 am	Found
Set at 8:30	Not Found
, Agar Mujhe Pani Peene Ke Liye Koi reminder set karo	Found
Kindly reschedule the alarm for 7 am	Found
Thankyou for the reminder.	Found
Call to srinath at 2om	Found
Tmrw I go to church at 11.30 pm. Create a schedule	Found
Remind me on 13th Jan to meet mr Saboo next day	Found
Yeah can i pick up that call...and will some one please say good morning mick have a nice day	Found
ILC remainder	Found
Can u remember me about to atten alluminai on 3 rd December 9.00 clock am	Found
Deactivate all my alarms and reminders.	Found
Set reminder at 6 pm tomorrow to go driving classes	Found
Hi.. there is a change in schedule.	Found
Dish Tv recharge reminder set karna hai	Found
I wana set reminder	Found
Remind to pay 9009 to Vasanti textiles tomo at 12pm	Found
Remind me to take a cake home at 7pm today	Found
khushboo could you remind me to eat every 2.5 hours starting from 8am today?	Found
Oops need a reminder an hour bfr plz	Found
Can you please set me alarm	Not Found
Can you remind me today to wish tony stark a happy birthday	Found
Can you set reminder for my friend	Found
Reminder on 14th January 9:00 am	Found
Ok cn i get a nice song on d call	Found
9637521432	Not Found
What reminder?	Found
About what?	Not Found
Thanks for reminding all these while	Found
Please remind me this Saturday for shopp8ng	Found
Please set another reminder	Found
make a reminder for me	Not Found
Remind me to take a bath today at 10.45 am	Found
now set the birthday at 31st dec time 11:55	Found
Remind me at 11.52 for session	Not Found
Remind me to go to 'blue orange'	Found
Do you know any thing about karol darwaja delhi market?	Found
I had requested that reminder alerts be cancelled now	Found
Remind to book flight tickets on 1st Dec	Found
I want remainder	Not Found
ok so plz remind me evry 2 hours to stay me hydrate	Found
You sure I'll get a call?	Not Found
Thank you for calling me	Not Found
Can I set a daily remainder?	Found
Schedule it for all days of week	Found
Postpone the reminder to tomorrow	Found
U reminded me late though	Not Found
Set another remainder at 8 45	Found
Thanks for the reminder! Happy new year!!!!😃	Found
Ok thanks	Found
Actually I need a reminder For everymonth 5th	Found
Remind me about asking definite integration	Not Found
Also remind me to complete the BMS OQ from my side at 4PM	Found
When you are reminding me.	Not Found
When is ankit birthday deepika	Found
Hi shruti,please set an alarm for 5:54 pm today..	Found
Could you remind to Submit IQN	Not Found
Pl.remind me 1) 1st of every month for putting fertilizer in the plants .... 2) 15th of every month for putting organic pesticide for plants.......	Found
REMIND ME TO WISH AAHELI ON 18th JANUARY	Found
Would you remind one of my friend too?	Found
Sir u remember me	Found
Remind me to make ShopCJ invoice	Found
Keep the reminders alive today. Thanks.	Found
Alarm in 2 hours	Not Found
Remind me nitrogen gas filling for car on 28/11/16 at 9am	Found
Can you remind me at 9.30Am to do yoga	Found
Can u set remainder Sayali for me	Not Found
Remind me to take my Vitamin D tablets every Friday, in the evening.	Found
Will u call and inform at the correct time	Not Found
Wrong reminder coming	Found
Would you remind me about flight	Not Found
Mam...can you just give me a reminder of tomorrow's tution at 8:15 am	Not Found
Can I set as repeatative?	Found
Can u remind me tomorrow at around 12 to pick up my things from the shop	Found
Hey! Can u remind me in every 2hour	Not Found
Today i need an reminder for buying bansuri and flag	Found
Can you save a reminder for me to play clash royale	Found
Remind me of meting on 27th November	Found
How will that reminder be??	Found
:)	Not Found
Remind me at 9 pm to day	Found
Set alarm for 8o'clock	Found
Remind me to take a shower at 12 45 pm	Found
Can u set an reminder	Found
Remind me in the next 30 minutes about the abovesaid task	Found
tomorrow at 11 am remind me to perder jockey tactel	Found
Pls change the reminder	Found
Please remind me on 1am for shutdown laptop	Found
Need a reminder 15mins before pls	Found
Add new reminder	Found
Plz make my schedule for tmw	Found
Hey ,can you remind me to Start reading chapter 9 in my book?	Found
Please remind me everyday for brush	Found
Good morning Pourush	Not Found
Can you remind me to right my diary everyday at 11:55 pm	Found
Remind me to study 7p's & second unit of BE tomorrow	Found
To remind ma'am about the class on 5th	Found
Bro I need study reminder daily is it possible	Found
Todays is Most importent in My life...... Want u to remind me every year	Found
I want to gift a cake to someone	Found
Hey, can you remind me to sleep at 4 PM today?	Found
Reminder today	Found
Remind me to go at Red Cross at 4:30pm in evening 25/11/2016	Found
Please set a reminder for me just after 20minutes wat the time is right now	Found
Remind to take cet material to cls @ 4 30 pm	Found
Can you remind me to go to photo studio for passport size photo. At 12:00pm today	Found
Remind me on 12 December	Found
Can u remind me that	Found
Remind me to pay my axis cc bill	Found
9327426063	Not Found
Okay..	Found
I want reminder every time when I get new Gmail	Not Found
Need an alarm at 7 PM today	Found
Please also remind me to walk every 25 mins	Found
For alarm i should on the net	Found
You faild to remind me on time, sad	Not Found
Is daily reminder available?	Found
Please set a reminder for me to book tatkal at 11.30 am tomorrow	Found
Can you connect all my friends list from Facebook and remind me accordingly.	Found
Thanks for calling!	Found
Is there any such facility that you guys keep calling till the time I answer	Found
remind me entire day today to register for courses	Not Found
ReMind me to bring bill book tomorrow	Found
Can you remind me d same thing at 5:00 pm tomorrow..?	Found
Remind me to say her to bring her ece copy in the colg	Found
One more thing can you please remind	Found
Please send other reminder details	Found
List of reminder	Found
To remind me	Found
Can you remind me to watch movie	Not Found
Remainder to eat fruit	Found
Thanks for remindering me	Not Found
Can you schedule a reminder	Not Found
Hey.. Can you give me a reminder at 1.57 for the next Mi shake shake game..	Not Found
I get reminder only when internet is ON	Found
Once again remind me at 8.35	Found
Remind me to attend caw 2:45 pm December 15	Found
Set a reminder for me	Not Found
How many times you are going to call me for the same	Found
I got to Skype with my friend at 8:30 pm can you please remind me that?	Found
Remind me to play guitar	Found
How will be the "call"?	Found
Bro	Found
Can you remind my wife tmrw to take her vitamin D injection at 3 pm	Found
I want to make reminder	Found
Reminder 2 being pomogranet tody at 5pm	Found
Maybe later..	Found
What about	Not Found
I need the reminder between 4 pm to 11 pm	Found
Remind me from tomorrow	Not Found
Ping me later jab m home	Found
Please end reminder	Found
I want reminders all day	Found
About to carry a ring for sivaswamy	Not Found
Details for which reminder?	Found
Remind to go for walk n yoga	Found
Remind me to come at 8 pm today	Found
Thanq. And remove(delete) all previous wakeup calls. Plz.	Found
Remind me too mail up my client	Found
Call ficci at 11 00 am tomorrow n thereafter call dme	Found
Remind me to wish vritz on her birthday which is on 11th november	Found
Take chakli from sachin reminder	Found
About Insurance refund	Found
Remind me to bring hair oil today	Found
I have a journey tomorrow night please remind me the same in the morning	Found
Please remind me to repair my laptop on Saturday I.e on 03-Dec-2016 at 9:30 AM	Found
Remind that maruti car insurance policy will come on Monday at 12 Tell dad about it	Found
I would like to set to do list reminder	Found
I am late to office	Not Found
2 calls	Not Found
Reminder to Marriage ceremony	Not Found
Remind me for my recharge	Found
Need to put in reminders for tom.	Found
Remind me tomorrow by 11 about baerlocher endorsements	Not Found
Remind me today at 1700hr to put fashion designer job requirement	Found
Remaind me for every 2 hours	Not Found
I want to set a new reminder	Found
Will i have two alarms	Not Found
K. Thank you so much for your remainder	Not Found
Did you set the target?	Not Found
Plz remind me again at 2:30	Found
Remind me at 9Pm to buy a fill for FM-2	Found
Tanushree... plz remind me at proper hour	Found
Can u please remind me to charge my phone at 3:30pm	Found
Heyya listen .... I need to know about something	Found
Just remind me to tune the channel of TV @ 9:00pm	Found
Do I have any reminder for today?	Found
Ya I know but remind me to go jacking ok	Found
Please close the reminder	Found
Remind me at 9 pm today of it return of Nextgen employee	Found
7:00	Not Found
Remind me to move cupboard today at 9:30pm	Found
Will discuss in evening	Not Found
set me an alarm on 8:00am on 28-12-16	Found
I already told about reminder of hr mantra app	Found
Hi gm	Not Found
Remind me to go to gym today at 5:34 pm	Found
can you suggest me the application for schedule silent mode n general mode	Found
What is the reminder I have set?	Found
U haven't called me right???	Found
N one more reminder I wanna set for 5:10am 26 december	Found
Can you please put this as a reminder for 7th dec 12pm again please	Found
Can you remind me to replace my lenses on 19th December	Found
set remider	Not Found
Remind me to keep the pass back at 2.00 pm tomorrow (19th November)	Found
Remind me bro bday at 11am today	Found
Remind me for economics notes at 2:50PM today	Found
Remind me to take a book for assinment today at 12:00 pm ok	Found
Set reminder on 5th December for visiting doctor on 6th December at Park clinic	Found
Repeat alarm at 8 am please	Found
And also remain me on Friday 10 am about medical bill	Found
Remind me same at 10.40pm today	Found
At least there should be notification popup because how would i get the reminder that i have to do something	Found
Remind me to ask simar to do 10 maths questions and learn square root table	Found
Also remind me to mail the presentation to Bloomberg tomorrow at 11 am	Found
Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training	Found
Reminder for ticket booking	Found
Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm	Found
Can you remind me for tomorrow	Not Found
Set a reminder for 4pm also Medical check up	Found
i have problem with 11:58pm reminder please remoe it	Found
Reminder for study time	Not Found
Pls remind me to that I need to submit my documents tmw mng	Found
Okay thank you... That will be total 2 reminders is it?	Found
Please remind me to get ioning cloths at 730 pm today evening	Found
